run_id,episode,episode_reward,avg_reward_20ep,avg_loss,epsilon,action_off,action_cool,action_heat,lr,gamma,epsilon_decay,batch_size,buffer_capacity
a39e8264f59c44bdb9cee0d82cafd053,1,-1369.6848,-1369.6848,0.0,0.995,11,7,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,2,-2277.5777,-1823.6313,0.0,0.99,7,7,10,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,3,-818.1517,-1488.4714,8377.3772,0.9851,7,11,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,4,-1145.4421,-1402.7141,6788.0602,0.9801,11,7,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,5,-2746.3845,-1671.4482,4724.4302,0.9752,5,7,12,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,6,-2174.8498,-1755.3484,4131.5935,0.9704,9,7,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,7,-800.6926,-1618.969,3447.9652,0.9655,7,9,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,8,-1138.9811,-1558.9705,3166.9983,0.9607,8,8,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,9,-2077.861,-1616.625,2774.1364,0.9559,5,8,11,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,10,-783.4929,-1533.3118,2438.4856,0.9511,3,12,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,11,-980.5644,-1483.062,2209.9013,0.9464,11,8,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,12,-1045.4182,-1446.5917,1943.0337,0.9416,7,10,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,13,-1309.0619,-1436.0125,1768.6596,0.9369,8,8,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,14,-1003.8146,-1405.1412,1530.266,0.9322,7,11,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,15,-524.8743,-1346.4568,1492.8702,0.9276,3,15,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,16,-1205.6707,-1337.6576,1224.1484,0.9229,6,10,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,17,-1738.7502,-1361.2513,1271.314,0.9183,6,9,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,18,-1138.7014,-1348.8874,1113.1033,0.9137,7,9,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,19,-989.5281,-1329.9738,904.1391,0.9092,9,8,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,20,-141.5009,-1270.5501,764.448,0.9046,11,12,1,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,21,-1546.7841,-1283.7041,685.2904,0.9001,8,7,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,22,-1698.3714,-1299.3559,548.9726,0.8956,8,7,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,23,-1076.3877,-1242.1564,427.256,0.8911,10,8,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,24,-2297.4836,-1312.6007,407.272,0.8867,2,11,11,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,25,-456.2882,-1279.7839,345.271,0.8822,7,11,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,26,-1857.2402,-1237.4437,291.9622,0.8778,10,5,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,27,-1683.6094,-1214.0513,250.0056,0.8734,5,10,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,28,-848.734,-1216.339,212.7362,0.8691,7,11,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,29,-309.3539,-1176.8329,181.6116,0.8647,8,12,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,30,-478.2347,-1100.6602,136.8752,0.8604,6,11,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,31,-2233.7988,-1169.7224,119.7618,0.8561,8,7,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,32,-2669.0308,-1250.1256,116.301,0.8518,6,6,12,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,33,-648.684,-1231.2335,110.5662,0.8475,6,11,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,34,-1293.8719,-1230.5101,91.7329,0.8433,7,9,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,35,-1152.3125,-1237.5815,84.7486,0.8391,7,9,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,36,-397.1332,-1231.4986,75.785,0.8349,1,15,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,37,-458.3761,-1195.9131,71.8779,0.8307,8,13,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,38,-521.1078,-1137.9301,68.3942,0.8266,8,11,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,39,-1057.6281,-1134.0695,68.6969,0.8224,7,9,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,40,-795.4254,-1124.8265,68.7918,0.8183,6,12,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,41,-25.1477,-1119.2859,66.1312,0.8142,5,17,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,42,-901.1267,-1088.5403,65.8052,0.8102,9,8,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,43,-2691.3515,-1135.8251,62.4446,0.8061,8,6,10,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,44,-347.0196,-1101.0932,69.3689,0.8021,7,12,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,45,-1236.3657,-1050.5638,56.5629,0.7981,7,8,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,46,-124.2885,-1034.7543,59.4323,0.7941,4,16,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,47,-40.2182,-948.2295,57.2799,0.7901,4,18,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,48,-246.8057,-879.8102,48.0134,0.7862,8,12,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,49,-372.6975,-857.1418,51.7092,0.7822,8,12,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,50,-662.8117,-873.9731,54.0771,0.7783,7,13,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,51,-296.0191,-865.2962,1180.1639,0.7744,7,13,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,52,-226.4396,-769.7077,513.1973,0.7705,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,53,-251.2287,-654.5743,405.3344,0.7667,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,54,-965.5246,-669.6619,289.3299,0.7629,9,8,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,55,-1032.886,-657.234,322.1057,0.759,6,10,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,56,-1565.4658,-676.908,240.6917,0.7553,6,8,10,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,57,-2114.0981,-758.6682,161.4241,0.7515,9,7,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,58,-1133.3062,-790.8077,185.8264,0.7477,6,11,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,59,-183.898,-774.7501,185.9657,0.744,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,60,-406.6602,-743.7516,194.6874,0.7403,6,12,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,61,-391.2956,-724.5074,158.4932,0.7366,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,62,-638.4768,-753.7135,159.7475,0.7329,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,63,-722.0244,-745.1848,148.7531,0.7292,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,64,-496.9869,-640.6913,131.6696,0.7256,5,14,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,65,-1107.9422,-676.9257,157.4582,0.7219,9,7,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,66,-360.1482,-635.201,148.7647,0.7183,4,14,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,67,-167.3721,-637.2526,124.1272,0.7147,3,17,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,68,-1001.2057,-683.0139,135.5938,0.7112,6,11,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,69,-507.6304,-695.4342,141.4939,0.7076,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,70,-1193.2206,-734.5067,112.9779,0.7041,5,13,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,71,-2963.1749,-844.0478,115.8899,0.7005,5,7,12,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,72,-855.2742,-870.679,148.0031,0.697,8,10,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,73,-1274.3803,-920.5809,104.7207,0.6936,6,10,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,74,-190.4109,-917.6849,102.0564,0.6901,10,13,1,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,75,-478.1309,-894.4756,112.4434,0.6866,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,76,-684.2649,-877.8746,115.2934,0.6832,4,14,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,77,-792.0957,-841.0475,121.0115,0.6798,5,12,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,78,-11.4835,-740.923,109.5929,0.6764,3,19,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,79,-106.7009,-692.037,111.3879,0.673,5,16,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,80,-990.1546,-730.4302,130.1037,0.6696,8,10,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,81,-1331.9075,-774.4896,121.8937,0.6663,3,12,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,82,-806.8932,-794.2799,108.8684,0.663,7,11,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,83,-184.8523,-772.6788,118.3259,0.6597,4,15,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,84,-176.6049,-746.7064,100.1524,0.6564,8,13,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,85,-511.0605,-747.3766,87.3216,0.6531,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,86,-1301.0512,-756.5723,90.8856,0.6498,6,9,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,87,-44.6837,-741.5501,99.4015,0.6466,5,17,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,88,-474.6264,-756.1813,86.6334,0.6433,3,15,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,89,-796.6274,-746.4395,98.1912,0.6401,4,12,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,90,-492.6439,-745.7258,105.2363,0.6369,4,14,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,91,-805.278,-727.2524,94.2021,0.6337,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,92,-428.4647,-606.5519,86.1895,0.6306,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,93,-407.5413,-585.2313,87.3769,0.6274,7,13,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,94,-406.5672,-543.9068,93.8054,0.6243,4,15,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,95,-133.2978,-541.1872,80.5286,0.6211,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,96,-87.788,-522.5994,81.0482,0.618,5,16,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,97,-268.8494,-502.8177,92.3173,0.6149,5,15,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,98,-86.5705,-469.2213,83.456,0.6119,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,99,-319.3219,-483.8802,92.7495,0.6088,6,15,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,100,-335.1689,-494.7597,85.2397,0.6058,5,13,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,101,-1653.5181,-526.3484,472.4762,0.6027,6,11,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,102,-116.0719,-468.4515,261.1129,0.5997,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,103,-125.7328,-436.0153,169.4397,0.5967,5,16,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,104,-207.0732,-437.0734,189.8885,0.5937,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,105,-337.2121,-444.7214,170.4416,0.5908,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,106,-441.8364,-441.425,189.9221,0.5878,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,107,-105.0924,-384.4746,156.5859,0.5849,7,15,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,108,-512.5552,-406.7542,180.5433,0.582,7,13,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,109,-405.0454,-403.4408,139.9008,0.579,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,110,-667.3598,-397.2852,145.9132,0.5762,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,111,-813.7261,-412.5748,148.4588,0.5733,5,12,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,112,-692.9595,-407.2263,119.3276,0.5704,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,113,-215.1949,-397.0706,166.6319,0.5676,8,14,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,114,-961.836,-423.4656,148.8459,0.5647,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,115,-472.6621,-426.613,114.6372,0.5619,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,116,-458.7074,-442.1087,155.5606,0.5591,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,117,-288.045,-451.6447,121.4651,0.5563,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,118,-238.9826,-450.2225,142.1495,0.5535,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,119,-780.995,-483.2903,118.533,0.5507,4,11,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,120,-500.921,-491.9379,111.8519,0.548,9,11,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,121,-795.6511,-513.8656,117.3497,0.5452,7,12,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,122,-153.548,-442.4385,98.3749,0.5425,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,123,-307.0349,-451.532,103.8952,0.5398,5,15,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,124,-149.5099,-452.6642,113.37,0.5371,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,125,-48.9782,-445.1359,114.0303,0.5344,3,18,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,126,-432.648,-449.6804,113.4018,0.5318,2,17,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,127,-162.8144,-436.3937,110.083,0.5291,2,17,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,128,-38.4453,-433.22,102.5312,0.5264,3,18,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,129,-630.1621,-438.8203,124.5732,0.5238,3,15,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,130,-76.0398,-423.1534,125.1743,0.5212,6,15,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,131,-67.598,-394.5933,111.5971,0.5186,5,17,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,132,-625.821,-385.6454,108.5312,0.516,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,133,-245.291,-364.3279,117.1679,0.5134,3,17,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,134,-10.2348,-354.5679,103.415,0.5108,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,135,-154.454,-316.1211,102.3537,0.5083,4,16,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,136,-240.1456,-305.0489,108.3069,0.5058,4,14,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,137,-479.2574,-306.0275,101.3126,0.5032,5,14,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,138,-556.7696,-318.8239,101.4491,0.5007,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,139,-159.3552,-315.0321,109.5775,0.4982,4,16,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,140,-154.2113,-285.1853,99.7972,0.4957,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,141,-1102.9019,-313.851,106.9204,0.4932,4,12,8,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,142,-144.7961,-282.8579,104.6552,0.4908,6,15,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,143,-415.623,-295.3377,100.2528,0.4883,8,12,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,144,-121.4793,-286.5017,84.7855,0.4859,8,14,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,145,-521.2957,-304.2058,97.623,0.4834,2,16,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,146,-443.0202,-322.9697,95.6003,0.481,5,14,5,0.001,0.99,0.995,64,10000
